Name,GUID,UUID,Description
AARAKOCRA,e8193d83-f2bc-4e21-8573-b4e158cc9363,e8193d83-f2bc-4e21-7385-e1b4cc586393,Character looks like an aarakocra
AASIMAR,41c6cdc9-aff5-46ae-afc4-aa0ccd9cd201,41c6cdc9-aff5-46ae-c4af-0caa9ccd01d2,Character looks like an aasimar
ABERRATION,f6fd70e6-73d3-4a12-a77e-f24f30b3b424,f6fd70e6-73d3-4a12-7ea7-4ff2b33024b4,Type Tag for aberration-type monsters
ACOLYTE,906d1961-e9c6-4170-b775-62797a0efe1c,906d1961-e9c6-4170-75b7-79620e7a1cfe,
ACT1_DEN_AI_HINT_RAMPARTS,34ebba96-404b-42f9-9726-ac4063f37161,34ebba96-404b-42f9-2697-40acf3636171,
ACT1_DEN_APPRENTICE,210f09f5-81e0-406c-baa3-2ea44e2f20d8,210f09f5-81e0-406c-a3ba-a42e2f4ed820,For the Apprentice's custom disturbance
ACT1_DEN_CHARMEDKID,c070d771-944d-474b-b594-3786d545521e,c070d771-944d-474b-94b5-863745d51e52,| Status tag for the Harpy Meal charmed halfling |
ACT1_DEN_DRUIDTRESPASS,4d4377c2-5061-4c6a-8ded-73d37a11b6fa,4d4377c2-5061-4c6a-ed8d-d373117afab6,|Tag druids who must have a disturbance reaction to the player trespassing into the Sacred Pond area.|
ACT1_DEN_FAITHWARDEN,cd873546-4158-4d9a-9c87-958ea63a1b08,cd873546-4158-4d9a-879c-8e953aa6081b,Honorary title that a druid player may receive if they help free the Grove from the Shadow Druids
ACT1_DEN_GATEAIHINT,6aadddaf-cc7b-448d-a4e1-b2fc539bf23d,6aadddaf-cc7b-448d-e1a4-fcb29b533df2,For Siege raiders% helper to move into the den after the gate ahs been destroyed.
ACT1_DEN_GREETING,9f2e27f1-dca8-4376-a148-92a016b08142,9f2e27f1-dca8-4376-48a1-a092b0164281,|NPC will do a custom generic reaction.|
ACT1_DEN_HAGTRADER,55fe3f63-d568-43d3-936e-b3984eed3cc3,55fe3f63-d568-43d3-6e93-98b3ed4ec33c,Auntie Ethel in the Den.
ACT1_DEN_HIDEOUTGUARD,205f0c01-e07d-486d-b751-b05f73e136d0,205f0c01-e07d-486d-51b7-5fb0e173d036,|React to thiefling hideout crime.|
ACT1_DEN_IDOLTHEFT,8991c4c4-59f6-40b8-a8e1-c70138eea64d,8991c4c4-59f6-40b8-e1a8-01c7ee384da6,| Can catch the thief who stole the Idol |
ACT1_DEN_OGRETHROWTARGET,a780967b-0e8e-4b78-a625-c008e05c70a8,a780967b-0e8e-4b78-25a6-08c05ce0a870,
ACT1_DEN_STORAGE,68f671ac-42dc-43f7-9ec3-d95c21f554c2,68f671ac-42dc-43f7-c39e-5cd9f521c254,
ACT1_DEN_STORAGEKEY,c2e0bb63-62ce-46ea-b553-9f30ae4d37db,c2e0bb63-62ce-46ea-53b5-309f4daedb37,
ACT1_FOR_AI_SKELETONCASKET,05c0f89c-b3d5-4065-8415-d7a55554e586,05c0f89c-b3d5-4065-1584-a5d7545586e5,
